actor_name 	What are the most relevant actors in Bad Boys? 
original_title 	In which movies did Scarlett Johansson take part in? 
genre 	What are the genres of the movie Notting Hill? 
genre 	The movie Grease belongs to which genres? 
genre 	What kind of movie is A.I. Artificial Intelligence? 
genre 	To which genres does the movie Pulp Fiction belong? 
genre 	Tell me the genres of Avatar. 
keyword 	What are the keywords for the movie Warcraft? 
keyword 	Keywords of Cloud Atlas. 
keyword 	Tell me the keywords of Divergent. 
keyword 	What are the most relevant words of Casino Royale? 
keyword 	What are the keywords of Finding Nemo? 
person_name 	Which director directed Avatar? 
person_name 	Who was Inception's director? 
person_name 	Show me the director of Toy Story. 
person_name 	Who was the director of Braveheart? 
person_name 	Spectre was directed by who? 
person_name 	Who directed Transformers: Age of Extinction? 
vote_avg 	What was the rating of Inception? 
vote_avg 	From 0 to 10, what was the average vote given to Braveheart? 
vote_avg 	What was the rating given to the movie Capote? 
original_title 	What movies did John Woo direct? 
original_title 	Which movies were made by Stanley Kubrick? 
vote_avg 	In average, what was the rating given to the movie Alexander? 
vote_avg 	What was the vote average of Batman Rises? 
original_title 	What is the latest movie in which Adam Sandler enters? 
original_title 	What is the latest movie featuring Tom Hanks? 
original_title 	Most recent movie to feature Daniel Craig? 
original_title 	What is the most recent movie where Christopher Walken can be seen? 
original_title 	What is the last movie in which Tom Cruise appears in? 
original_title 	What is the oldest movie ever made? 
original_title 	What is the oldest movie produced? 
original_title 	What was the movie produced the longest time ago? 
original_title 	What's the title of the oldest movie? 
original_title 	What was the first movie to be released? 
original_title 	What is the most recent movie to be released? 
original_title 	What was the latest movie to debut? 
original_title 	Which movie was most recently released? 
original_title 	Tell me what is the latest movie to be released. 
original_title 	Most recent movie to premier in cinemas? 
actor_name 	How many actors participated in Cars? 
actor_name 	Number of actors in Iron Man 2? 
actor_name 	How many actors played a role in Avatar? 
actor_name 	What's the number of actors involved in the making of Braveheart? 
actor_name 	The production of Interstellar involved how many actors? 
character_name 	How many characters were in total in The Matrix Revolutions? 
character_name 	How many characters entered the movie Cloud Atlas? 
character_name 	In total, how many characters are there in Spectre? 
character_name 	Show me the character count of Titanic. 
character_name 	The movie The Avengers has how many characters? 
original_title 	What was the most profitable movie of all time? 
original_title 	Which movie made the most revenue? 
original_title 	What was the most profitable movie ever made? 
original_title 	What was the movie that generated the largest profit? 
original_title 	What was the movie that generated the largest box office? 
original_title 	What was the least profitable movie ever? 
original_title 	What movie made the smallest box office? 
original_title 	Of all the movies made, what was the one that generated the smallest revenue? 
original_title 	Movie that made the least profit? 
original_title 	Which movie generated the least income? 
original_title 	What is the longest movie ever made? 
original_title 	What's the movie that lasts the longest? 
original_title 	Show me the longest movie on record. 
original_title 	Movie with longest run time? 
original_title 	Which movie has the longest run-time? 
original_title 	What is the shortest movie ever released? 
original_title 	What is the movie lasts the least? 
original_title 	Tell me the title of shortest movie ever released. 
original_title 	From all the movies made, what's the shortest one? 
original_title 	Which movie has the shortest run time? 
original_title 	Which movie has the highest rating? 
original_title 	Which movie was given the best rating? 
original_title 	What is the best rated movie? 
original_title 	In average, what's the best rated movie? 
original_title 	What movie received the best vote average? 
original_title 	What was the movie that received the worst review ever? 
original_title 	Tell me what's the movie with the lowest rating. 
original_title 	Out of all movies produced, what is the one with the worst rating? 
original_title 	In average, what movie has received the worst votes? 
original_title 	Which movie had the worst vote average? 
production_company 	How many companies produced Quantum of Solace? 
production_company 	How many companies were involved in the production of Despicable Me? 
production_company 	The movie Fight Club was produced by how many companies? 
production_company 	The production of The Jungle Book involved how many companies? 
production_company 	Paycheck was produced by how many companies? 
production_country 	In how many countries was 2012 shot? 
production_country 	King Kong was shot in how many countries? 
production_country 	The movie The Tourist was produced in how many countries? 
production_country 	The production of Inglourious Basterds was made in how many countries? 
production_country 	What's the number of countries where The Matrix was produced in? 
spoken_language 	How many different languages are spoken in Inglourious Basterds? 
spoken_language 	During the movie The Da Vinci Code, how many languages are used? 
spoken_language 	How many languages can be heard in The Tourist? 
spoken_language 	On the movie Quantum of Solace, how many idioms can be heard? 
spoken_language 	What's the number of spoken languages in American Sniper? 
original_title 	In how many movies did Michael Fassbender play a part in? 
original_title 	Meryl Streep has participated in how many movies? 
